"fk_id_object"|"fk_id_metaindex"|"name"|"en"|"de"
300188|113|"objecttype"|"Coin"|"M&uuml;nze"
300188|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300188|423|"culture"|"Roman"|"Römisch"
300189|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300189|113|"objecttype"|"Coin"|"M&uuml;nze"
300189|3152|"objecttype"|"Antoninian"|"Antoninian"
300189|318|"technique"|"Minted"|"Gepr&auml;gt"
300189|423|"culture"|"Roman"|"Römisch"
300190|113|"objecttype"|"Coin"|"M&uuml;nze"
300190|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300190|3151|"objecttype"|"Aes"|"Aes"
300190|423|"culture"|"Roman"|"Römisch"
300190|318|"technique"|"Minted"|"Gepr&auml;gt"
300191|3154|"objecttype"|"Denar"|"Denar"
300191|113|"objecttype"|"Coin"|"M&uuml;nze"
300191|318|"technique"|"Minted"|"Gepr&auml;gt"
300191|423|"culture"|"Roman"|"Römisch"
300191|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300192|3152|"objecttype"|"Antoninian"|"Antoninian"
300192|113|"objecttype"|"Coin"|"M&uuml;nze"
300192|318|"technique"|"Minted"|"Gepr&auml;gt"
300192|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300192|423|"culture"|"Roman"|"Römisch"
300193|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300193|3165|"objecttype"|"Tetradrachme"|"Tetradrachme"
300193|113|"objecttype"|"Coin"|"M&uuml;nze"
300193|318|"technique"|"Minted"|"Gepr&auml;gt"
300193|423|"culture"|"Roman"|"Römisch"
300194|318|"technique"|"Minted"|"Gepr&auml;gt"
300194|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300194|423|"culture"|"Roman"|"Römisch"
300194|113|"objecttype"|"Coin"|"M&uuml;nze"
300194|3154|"objecttype"|"Denar"|"Denar"
300195|3154|"objecttype"|"Denar"|"Denar"
300195|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300195|423|"culture"|"Roman"|"Römisch"
300195|318|"technique"|"Minted"|"Gepr&auml;gt"
300195|113|"objecttype"|"Coin"|"M&uuml;nze"
300196|423|"culture"|"Roman"|"Römisch"
300196|113|"objecttype"|"Coin"|"M&uuml;nze"
300196|318|"technique"|"Minted"|"Gepr&auml;gt"
300196|3154|"objecttype"|"Denar"|"Denar"
300196|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300197|3154|"objecttype"|"Denar"|"Denar"
300197|113|"objecttype"|"Coin"|"M&uuml;nze"
300197|423|"culture"|"Roman"|"Römisch"
300197|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300197|318|"technique"|"Minted"|"Gepr&auml;gt"
300198|3162|"objecttype"|"Quinar"|"Quinar"
300198|113|"objecttype"|"Coin"|"M&uuml;nze"
300198|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300198|318|"technique"|"Minted"|"Gepr&auml;gt"
300198|423|"culture"|"Roman"|"Römisch"
300199|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300199|318|"technique"|"Minted"|"Gepr&auml;gt"
300199|423|"culture"|"Roman"|"Römisch"
300199|3154|"objecttype"|"Denar"|"Denar"
300199|113|"objecttype"|"Coin"|"M&uuml;nze"
300200|113|"objecttype"|"Coin"|"M&uuml;nze"
300200|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300200|3154|"objecttype"|"Denar"|"Denar"
300200|423|"culture"|"Roman"|"Römisch"
300200|318|"technique"|"Minted"|"Gepr&auml;gt"
300201|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300201|318|"technique"|"Minted"|"Gepr&auml;gt"
300201|113|"objecttype"|"Coin"|"M&uuml;nze"
300201|3162|"objecttype"|"Quinar"|"Quinar"
300201|423|"culture"|"Roman"|"Römisch"
300202|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300202|423|"culture"|"Roman"|"Römisch"
300202|318|"technique"|"Minted"|"Gepr&auml;gt"
300202|113|"objecttype"|"Coin"|"M&uuml;nze"
300202|3158|"objecttype"|"Dupondius"|"Dupondius"
300203|423|"culture"|"Roman"|"Römisch"
300203|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300203|3154|"objecttype"|"Denar"|"Denar"
300203|113|"objecttype"|"Coin"|"M&uuml;nze"
300203|318|"technique"|"Minted"|"Gepr&auml;gt"
300204|113|"objecttype"|"Coin"|"M&uuml;nze"
300204|318|"technique"|"Minted"|"Gepr&auml;gt"
300204|423|"culture"|"Roman"|"Römisch"
300204|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300204|3156|"objecttype"|"Doppelsesterz"|"Doppelsesterz"
300205|3162|"objecttype"|"Quinar"|"Quinar"
300205|423|"culture"|"Roman"|"Römisch"
300205|318|"technique"|"Minted"|"Gepr&auml;gt"
300205|113|"objecttype"|"Coin"|"M&uuml;nze"
300205|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300206|113|"objecttype"|"Coin"|"M&uuml;nze"
300206|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300206|423|"culture"|"Roman"|"Römisch"
300206|318|"technique"|"Minted"|"Gepr&auml;gt"
300206|3154|"objecttype"|"Denar"|"Denar"
300207|423|"culture"|"Roman"|"Römisch"
300207|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300207|318|"technique"|"Minted"|"Gepr&auml;gt"
300207|3162|"objecttype"|"Quinar"|"Quinar"
300207|113|"objecttype"|"Coin"|"M&uuml;nze"
300208|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300208|423|"culture"|"Roman"|"Römisch"
300208|3158|"objecttype"|"Dupondius"|"Dupondius"
300208|318|"technique"|"Minted"|"Gepr&auml;gt"
300208|113|"objecttype"|"Coin"|"M&uuml;nze"
300209|113|"objecttype"|"Coin"|"M&uuml;nze"
300209|423|"culture"|"Roman"|"Römisch"
300209|318|"technique"|"Minted"|"Gepr&auml;gt"
300209|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300209|3151|"objecttype"|"Aes"|"Aes"
300210|318|"technique"|"Minted"|"Gepr&auml;gt"
300210|423|"culture"|"Roman"|"Römisch"
300210|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300210|113|"objecttype"|"Coin"|"M&uuml;nze"
300210|3157|"objecttype"|"Drachme"|"Drachme"
300211|3154|"objecttype"|"Denar"|"Denar"
300211|423|"culture"|"Roman"|"Römisch"
300211|318|"technique"|"Minted"|"Gepr&auml;gt"
300211|113|"objecttype"|"Coin"|"M&uuml;nze"
300211|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300212|3151|"objecttype"|"Aes"|"Aes"
300212|423|"culture"|"Roman"|"Römisch"
300212|318|"technique"|"Minted"|"Gepr&auml;gt"
300212|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300212|113|"objecttype"|"Coin"|"M&uuml;nze"
300213|318|"technique"|"Minted"|"Gepr&auml;gt"
300213|423|"culture"|"Roman"|"Römisch"
300213|113|"objecttype"|"Coin"|"M&uuml;nze"
300213|3154|"objecttype"|"Denar"|"Denar"
300213|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300214|113|"objecttype"|"Coin"|"M&uuml;nze"
300214|423|"culture"|"Roman"|"Römisch"
300214|318|"technique"|"Minted"|"Gepr&auml;gt"
300214|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300214|3165|"objecttype"|"Tetradrachme"|"Tetradrachme"
300215|113|"objecttype"|"Coin"|"M&uuml;nze"
300215|3165|"objecttype"|"Tetradrachme"|"Tetradrachme"
300215|423|"culture"|"Roman"|"Römisch"
300215|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300215|318|"technique"|"Minted"|"Gepr&auml;gt"
300216|318|"technique"|"Minted"|"Gepr&auml;gt"
300216|3153|"objecttype"|"As"|"As"
300216|423|"culture"|"Roman"|"Römisch"
300216|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300216|113|"objecttype"|"Coin"|"M&uuml;nze"
300217|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300217|113|"objecttype"|"Coin"|"M&uuml;nze"
300217|318|"technique"|"Minted"|"Gepr&auml;gt"
300217|423|"culture"|"Roman"|"Römisch"
300217|3151|"objecttype"|"Aes"|"Aes"
300218|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300218|113|"objecttype"|"Coin"|"M&uuml;nze"
300218|423|"culture"|"Roman"|"Römisch"
300218|3151|"objecttype"|"Aes"|"Aes"
300218|318|"technique"|"Minted"|"Gepr&auml;gt"
300219|3151|"objecttype"|"Aes"|"Aes"
300219|318|"technique"|"Minted"|"Gepr&auml;gt"
300219|113|"objecttype"|"Coin"|"M&uuml;nze"
300219|3141|"objecttype"|"Provinzialprägung"|"Provinzialprägung"
300219|423|"culture"|"Roman"|"Römisch"
300220|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
300220|3154|"objecttype"|"Denar"|"Denar"
300220|318|"technique"|"Minted"|"Gepr&auml;gt"
300220|113|"objecttype"|"Coin"|"M&uuml;nze"
300220|423|"culture"|"Roman"|"Römisch"
300221|3142|"objecttype"|"Reichsprägung"|"Reichsprägung"
